7ada4e5,Lachlan Klenk,3 weeks ago,Merge branch 'main' into Peer_Feedback
a68df9f,Lachlan Klenk,3 weeks ago,admin dashboard link fix
9e21c6e,Lachlan Klenk,3 weeks ago,updating sidebar
2e493af,Lachlan Klenk,3 weeks ago,Merge pull request #63 from putl0014/feat/putl0014/FUSSRequests
654d885,Jayden Putland,3 weeks ago,Merge pull request #64 from putl0014/Peer_Feedback
2b91b70,Lachlan Klenk,3 weeks ago,Peer Feedback working
a3f75cf,Lachlan Klenk,3 weeks ago,Update PeerFeedback.php
0bea170,Lachlan Klenk,3 weeks ago,review system
c1badd5,Jayden Putland,3 weeks ago,Merge branch 'main' into feat/putl0014/FUSSRequests
852d544,putl0014,3 weeks ago,Agreed Requests Page, confirm requests php script
130f337,putl0014,3 weeks ago,Requests now can be agreed on by both parties
92df0d0,Jayden Putland,3 weeks ago,Merge pull request #62 from putl0014/Student-Homepage-HTML
322084d,putl0014,3 weeks ago,Sending and receiving requests
cb8eb15,Lachlan Klenk,3 weeks ago,Merge branch 'main' into Student-Homepage-HTML
1c19ae9,Lachlan Klenk,3 weeks ago,Merge pull request #58 from putl0014/feat/putl0014/visibleProfilesToOtherUsers
2a72b36,Lachlan Klenk,3 weeks ago,credits added back in
2869044,Lachlan Klenk,3 weeks ago,cleaning code
a84e18b,Lachlan Klenk,3 weeks ago,Merge branch 'main' into Student-Homepage-HTML
90b4607,Lachlan Klenk,3 weeks ago,updates
b6691ec,putl0014,3 weeks ago,Merge branch 'main' into feat/putl0014/FUSSRequests
e1691f4,Lachlan Klenk,3 weeks ago,Merge branch 'Student-Homepage-HTML' of https://github.com/putl0014/FUSS-Repo into Student-Homepage-HTML
dcd163d,putl0014,3 weeks ago,Merge branch 'Student-Homepage-HTML' into feat/putl0014/FUSSRequests
c3f8d5e,Lachlan Klenk,3 weeks ago,messages working and nicer look
27e88a8,putl0014,3 weeks ago,Fix typo
14d4b70,putl0014,3 weeks ago,Updated Navbar to include all current pages
22a1259,putl0014,3 weeks ago,Allows suspended accounts to login if unsuspended
46f04f7,putl0014,3 weeks ago,Fixed the search table misspellings
b49f2c7,Jayden Putland,3 weeks ago,Merge pull request #61 from putl0014/fix/putl0014/dbconnectFile
eb6009d,putl0014,3 weeks ago,Reverting DBConnect
54b8abc,Lachlan Klenk,3 weeks ago,Merge pull request #55 from putl0014/Student-Homepage-HTML
e695e3e,Lachlan Klenk,3 weeks ago,pfp
44fcadc,putl0014,3 weeks ago,Admin View Students
195376c,Lachlan Klenk,3 weeks ago,Update student-homepage.php
7a16277,Lachlan Klenk,3 weeks ago,Merge branch 'main' into Student-Homepage-HTML
79713c1,Lachlan Klenk,3 weeks ago,Update student-homepage.php
c90f496,Lachlan Klenk,3 weeks ago,fix
d374cac,Jayden Putland,3 weeks ago,Merge branch 'main' into feat/putl0014/visibleProfilesToOtherUsers
8b50f79,Liam maney,3 weeks ago,Merge pull request #59 from putl0014/feat/putl0014/browsingSkillsAndStudents
617d15f,Jayden Putland,3 weeks ago,Merge branch 'main' into feat/putl0014/visibleProfilesToOtherUsers
b8ff3c9,putl0014,3 weeks ago,Database dump for this commit
45912b7,putl0014,3 weeks ago,Table is now searchable
96db5b4,putl0014,3 weeks ago,Browse page now includes availability
4c65385,putl0014,3 weeks ago,Merge branch 'main' into feat/putl0014/browsingSkillsAndStudents
83fcdf4,putl0014,3 weeks ago,Added basic structure, css and php for a browse offered skills page
ef99476,main0074,3 weeks ago,Merge pull request #52 from putl0014/feat/putl0014/addingAvailabilityToProfile
514d949,putl0014,3 weeks ago,Database Changes
b316b05,putl0014,3 weeks ago,Admins can now edit other profiles
f67de1f,Lachlan Klenk,3 weeks ago,Update student-homepage.php
be45827,Lachlan Klenk,3 weeks ago,Update inbox.php
8d70c0f,putl0014,3 weeks ago,Edit Profile displays correct data for admins, still need to get the edit function to work
fcaeb18,Lachlan Klenk,3 weeks ago,correct credits displayed
7efe5a3,Lachlan Klenk,3 weeks ago,Update studentLoginPage.php
6ea4587,putl0014,3 weeks ago,Student Profile can now load other user info
c838d32,Lachlan Klenk,3 weeks ago,Update student-homepage.php
588ec7a,Lachlan Klenk,3 weeks ago,Merge branch 'main' into Student-Homepage-HTML
358b9cc,Lachlan Klenk,3 weeks ago,Adding links and loggout
8e9a36d,Lachlan Klenk,3 weeks ago,credit formating
d3cb489,Lachlan Klenk,3 weeks ago,Merge pull request #54 from putl0014/feat/putl0014/defaultProfilePictures
f3e0f5e,putl0014,3 weeks ago,Update users.sql
e8d4812,putl0014,3 weeks ago,Database Update to default Profile Pics
aeeeca0,Lachlan Klenk,3 weeks ago,Update student-homepage.php
7813c0b,Lachlan Klenk,3 weeks ago,Update student-homepage.php
76b8588,Jayden Putland,3 weeks ago,Merge pull request #49 from putl0014/Admin-Dashboard-HTML
e0cd696,Lachlan Klenk,3 weeks ago,Update student-homepage.php
0a92fd7,Jayden Putland,3 weeks ago,Merge branch 'main' into Admin-Dashboard-HTML
8a6722b,Lachlan Klenk,3 weeks ago,Update student-homepage.php
289e9ce,Lachlan Klenk,3 weeks ago,added php
9204453,Xplict1,3 weeks ago,manage skill list done
69a7235,putl0014,3 weeks ago,Availability Now shown on Profile and editable
d3508bf,Lachlan Klenk,3 weeks ago,Merge pull request #50 from putl0014/fix/putl0014/adminLoginSessionID
