86cbbc4,putl0014,3 minutes ago,Create Final Database Setup Script.sql
1fb1dcc,Jayden Putland,9 minutes ago,Merge pull request #76 from putl0014/Putl0014/SubmissionEditing
f733bf1,putl0014,9 minutes ago,Deleteing stuff
abe9c07,Jayden Putland,10 minutes ago,Merge pull request #75 from putl0014/dev/wach0035/request-sending
8db6934,Jayden Putland,11 minutes ago,Merge branch 'main' into dev/wach0035/request-sending
1abaf6f,Jayden Putland,12 minutes ago,Remove unused echo statement in index.php
4b15e39,Jayden Putland,14 minutes ago,Update Docker Compose ports for web server
7799c02,Thomas Wachmer,20 minutes ago,commit message
0e9bed9,Lachlan Klenk,21 minutes ago,Merge pull request #72 from putl0014/fix/putl0014/trimmingUnusedPages
30f9e02,Jayden Putland,21 minutes ago,Merge branch 'main' into fix/putl0014/trimmingUnusedPages
ac349ca,Jayden Putland,22 minutes ago,Merge pull request #74 from putl0014/Student-Homepage-HTML
fa543ca,Lachlan Klenk,24 minutes ago,fixing credit button and removing excess pages
45598cf,Jayden Putland,33 minutes ago,Merge pull request #73 from putl0014/Student-Homepage-HTML
c65d5c2,Lachlan Klenk,34 minutes ago,fixed banner and overlap
407fb5e,putl0014,53 minutes ago,Changed Logout Buttons
9f9cd45,putl0014,58 minutes ago,Deleted Unused Pages
4b44f3e,Jayden Putland,64 minutes ago,Merge pull request #71 from putl0014/Student-Homepage-HTML
f66c671,Thomas Wachmer,67 minutes ago,rename account.php to changeAvailability.php
d240dce,Jayden Putland,67 minutes ago,Merge branch 'main' into Student-Homepage-HTML
e5f859f,Lachlan Klenk,69 minutes ago,fixing admin display
c5f66c6,Thomas Wachmer,72 minutes ago,Heck it we ball
47fe67f,Jayden Putland,73 minutes ago,Merge pull request #69 from putl0014/Student-Homepage-HTML
fda43a0,Liam maney,73 minutes ago,Merge pull request #70 from putl0014/fix/putl0014/databasehooksAdmin
0216c4c,putl0014,75 minutes ago,Fixed Liams shit
c3c31d4,Lachlan Klenk,2 hours ago,fixing student homepage button
a55c436,Thomas Wachmer,2 hours ago,Remove unused API endpoints
501c8ca,putl0014,2 hours ago,Changed databases hooks
fb1dc60,Lachlan Klenk,2 hours ago,Update PeerFeedback.css
313b9d9,Lachlan Klenk,2 hours ago,Merge pull request #68 from putl0014/feat/putl0014/transactionHistory
e3173fd,Lachlan Klenk,2 hours ago,Merge pull request #67 from putl0014/Peer_Feedback
005bc9e,putl0014,4 hours ago,Updated statement  for DB usage
d08463e,Lachlan Klenk,4 hours ago,Merge branch 'main' into Peer_Feedback
2f25f79,putl0014,4 hours ago,Credit Transaction page now Live
018090e,Lachlan Klenk,4 hours ago,Merge pull request #66 from putl0014/feat/putl0014/updateingReviews
f4ac1e8,putl0014,5 hours ago,updating the reviews
6ac7971,Lachlan Klenk,5 hours ago,added stars to homepage (needs updating with database variables)
9566a7c,Jayden Putland,5 hours ago,Merge pull request #65 from putl0014/Peer_Feedback
fec665a,Lachlan Klenk,5 hours ago,admin dashboard spelling mistake fixed
1d85655,Lachlan Klenk,5 hours ago,All sidebar tabs working except admin dashboard and credit history
7ada4e5,Lachlan Klenk,5 hours ago,Merge branch 'main' into Peer_Feedback
a68df9f,Lachlan Klenk,5 hours ago,admin dashboard link fix
9e21c6e,Lachlan Klenk,5 hours ago,updating sidebar
2e493af,Lachlan Klenk,6 hours ago,Merge pull request #63 from putl0014/feat/putl0014/FUSSRequests
654d885,Jayden Putland,6 hours ago,Merge pull request #64 from putl0014/Peer_Feedback
2b91b70,Lachlan Klenk,17 hours ago,Peer Feedback working
a3f75cf,Lachlan Klenk,17 hours ago,Update PeerFeedback.php
0bea170,Lachlan Klenk,17 hours ago,review system
c1badd5,Jayden Putland,18 hours ago,Merge branch 'main' into feat/putl0014/FUSSRequests
852d544,putl0014,18 hours ago,Agreed Requests Page, confirm requests php script
130f337,putl0014,19 hours ago,Requests now can be agreed on by both parties
92df0d0,Jayden Putland,20 hours ago,Merge pull request #62 from putl0014/Student-Homepage-HTML
322084d,putl0014,20 hours ago,Sending and receiving requests
cb8eb15,Lachlan Klenk,21 hours ago,Merge branch 'main' into Student-Homepage-HTML
1c19ae9,Lachlan Klenk,21 hours ago,Merge pull request #58 from putl0014/feat/putl0014/visibleProfilesToOtherUsers
2a72b36,Lachlan Klenk,22 hours ago,credits added back in
2869044,Lachlan Klenk,22 hours ago,cleaning code
a84e18b,Lachlan Klenk,23 hours ago,Merge branch 'main' into Student-Homepage-HTML
90b4607,Lachlan Klenk,23 hours ago,updates
b6691ec,putl0014,23 hours ago,Merge branch 'main' into feat/putl0014/FUSSRequests
e1691f4,Lachlan Klenk,23 hours ago,Merge branch 'Student-Homepage-HTML' of https://github.com/putl0014/FUSS-Repo into Student-Homepage-HTML
dcd163d,putl0014,23 hours ago,Merge branch 'Student-Homepage-HTML' into feat/putl0014/FUSSRequests
c3f8d5e,Lachlan Klenk,23 hours ago,messages working and nicer look
27e88a8,putl0014,23 hours ago,Fix typo
14d4b70,putl0014,23 hours ago,Updated Navbar to include all current pages
22a1259,putl0014,24 hours ago,Allows suspended accounts to login if unsuspended
46f04f7,putl0014,24 hours ago,Fixed the search table misspellings
b49f2c7,Jayden Putland,25 hours ago,Merge pull request #61 from putl0014/fix/putl0014/dbconnectFile
eb6009d,putl0014,25 hours ago,Reverting DBConnect
54b8abc,Lachlan Klenk,25 hours ago,Merge pull request #55 from putl0014/Student-Homepage-HTML
e695e3e,Lachlan Klenk,25 hours ago,pfp
44fcadc,putl0014,25 hours ago,Admin View Students
195376c,Lachlan Klenk,25 hours ago,Update student-homepage.php
7a16277,Lachlan Klenk,25 hours ago,Merge branch 'main' into Student-Homepage-HTML
79713c1,Lachlan Klenk,25 hours ago,Update student-homepage.php
c90f496,Lachlan Klenk,25 hours ago,fix
d374cac,Jayden Putland,26 hours ago,Merge branch 'main' into feat/putl0014/visibleProfilesToOtherUsers
8b50f79,Liam maney,26 hours ago,Merge pull request #59 from putl0014/feat/putl0014/browsingSkillsAndStudents
617d15f,Jayden Putland,29 hours ago,Merge branch 'main' into feat/putl0014/visibleProfilesToOtherUsers
b8ff3c9,putl0014,29 hours ago,Database dump for this commit
45912b7,putl0014,29 hours ago,Table is now searchable
96db5b4,putl0014,2 days ago,Browse page now includes availability
4c65385,putl0014,2 days ago,Merge branch 'main' into feat/putl0014/browsingSkillsAndStudents
83fcdf4,putl0014,2 days ago,Added basic structure, css and php for a browse offered skills page
ef99476,main0074,2 days ago,Merge pull request #52 from putl0014/feat/putl0014/addingAvailabilityToProfile
514d949,putl0014,2 days ago,Database Changes
b316b05,putl0014,2 days ago,Admins can now edit other profiles
f67de1f,Lachlan Klenk,2 days ago,Update student-homepage.php
be45827,Lachlan Klenk,2 days ago,Update inbox.php
8d70c0f,putl0014,2 days ago,Edit Profile displays correct data for admins, still need to get the edit function to work
fcaeb18,Lachlan Klenk,2 days ago,correct credits displayed
7efe5a3,Lachlan Klenk,2 days ago,Update studentLoginPage.php
6ea4587,putl0014,2 days ago,Student Profile can now load other user info
c838d32,Lachlan Klenk,2 days ago,Update student-homepage.php
588ec7a,Lachlan Klenk,2 days ago,Merge branch 'main' into Student-Homepage-HTML
358b9cc,Lachlan Klenk,2 days ago,Adding links and loggout
8e9a36d,Lachlan Klenk,2 days ago,credit formating
d3cb489,Lachlan Klenk,2 days ago,Merge pull request #54 from putl0014/feat/putl0014/defaultProfilePictures
f3e0f5e,putl0014,2 days ago,Update users.sql
e8d4812,putl0014,2 days ago,Database Update to default Profile Pics
aeeeca0,Lachlan Klenk,2 days ago,Update student-homepage.php
7813c0b,Lachlan Klenk,2 days ago,Update student-homepage.php
76b8588,Jayden Putland,2 days ago,Merge pull request #49 from putl0014/Admin-Dashboard-HTML
e0cd696,Lachlan Klenk,2 days ago,Update student-homepage.php
0a92fd7,Jayden Putland,2 days ago,Merge branch 'main' into Admin-Dashboard-HTML
8a6722b,Lachlan Klenk,2 days ago,Update student-homepage.php
289e9ce,Lachlan Klenk,2 days ago,added php
9204453,Xplict1,3 days ago,manage skill list done
69a7235,putl0014,3 days ago,Availability Now shown on Profile and editable
d3508bf,Lachlan Klenk,3 days ago,Merge pull request #50 from putl0014/fix/putl0014/adminLoginSessionID
5561c91,putl0014,4 days ago,Changed session to use id
6c09cdb,Xplict1,4 days ago,FUSSCredit Distribution added
42b1217,Thomas Wachmer,4 days ago,Update account.php to make it not look like shit
32d91f1,Xplict1,4 days ago,fix logout directory
617c3dd,Liam maney,4 days ago,Merge pull request #47 from putl0014/feat/putl0014/studentProfileEdit
ef01889,Xplict1,4 days ago,update pr-roster
0a78e0c,Xplict1,4 days ago,popular skills table and styling
ad99098,putl0014,4 days ago,Delete inbox copy.html
d468b32,putl0014,4 days ago,Create users database for PR.sql
ea3fef6,putl0014,4 days ago,Update pr-roster.md
c772b09,putl0014,4 days ago,Completed Profile Edit
29d990d,Thomas Wachmer,4 days ago,Minor changes
e536378,putl0014,5 days ago,Basic structure done, need to write php to update db from field selection
3cc2f33,putl0014,5 days ago,Editing Profile Picture works
68cb12a,putl0014,5 days ago,
ad6a9dd,putl0014,5 days ago,Student Profile
31a5951,Jayden Putland,5 days ago,Merge branch 'main' into feat/putl0014/messaging
